method,curve,fpr,tpr
one_stage,defect_roc,0.0,0.0
one_stage,defect_roc,0.0,0.0004761904761904762
one_stage,defect_roc,0.0,0.05380952380952381
one_stage,defect_roc,0.0,0.054285714285714284
one_stage,defect_roc,0.0,0.05476190476190476
one_stage,defect_roc,0.0,0.05523809523809524
one_stage,defect_roc,0.0,0.055714285714285716
one_stage,defect_roc,0.0,0.05619047619047619
one_stage,defect_roc,0.0,0.056666666666666664
one_stage,defect_roc,0.0,0.05714285714285714
one_stage,defect_roc,0.0,0.05761904761904762
one_stage,defect_roc,0.0,0.058095238095238096
one_stage,defect_roc,0.0,0.05857142857142857
one_stage,defect_roc,0.0,0.05904761904761905
one_stage,defect_roc,0.0,0.05952380952380952
one_stage,defect_roc,0.0,0.06
one_stage,defect_roc,0.0,0.060476190476190475
one_stage,defect_roc,0.0,0.06095238095238095
one_stage,defect_roc,0.0,0.06142857142857143
one_stage,defect_roc,0.0,0.06190476190476191
one_stage,defect_roc,0.0,0.062380952380952384
one_stage,defect_roc,0.0,0.06285714285714286
one_stage,defect_roc,0.0,0.06333333333333334
one_stage,defect_roc,0.0,0.06380952380952382
one_stage,defect_roc,0.0,0.06428571428571428
one_stage,defect_roc,0.0,0.06476190476190476
one_stage,defect_roc,0.0,0.06523809523809523
one_stage,defect_roc,0.0,0.06571428571428571
one_stage,defect_roc,0.0,0.06619047619047619
one_stage,defect_roc,0.0,0.06666666666666667
one_stage,defect_roc,0.0,0.06714285714285714
one_stage,defect_roc,0.0,0.06761904761904762
one_stage,defect_roc,0.0,0.0680952380952381
one_stage,defect_roc,0.0,0.06857142857142857
one_stage,defect_roc,0.0,0.06904761904761905
one_stage,defect_roc,0.0,0.06952380952380953
one_stage,defect_roc,0.0,0.07
one_stage,defect_roc,0.0,0.07047619047619047
one_stage,defect_roc,0.0,0.07095238095238095
one_stage,defect_roc,0.0,0.07142857142857142
one_stage,defect_roc,0.0,0.0719047619047619
one_stage,defect_roc,0.0,0.07238095238095238
one_stage,defect_roc,0.0,0.07285714285714286
one_stage,defect_roc,0.0,0.07333333333333333
one_stage,defect_roc,0.0,0.07380952380952381
one_stage,defect_roc,0.0,0.07428571428571429
one_stage,defect_roc,0.0,0.07476190476190477
one_stage,defect_roc,0.0,0.07523809523809524
one_stage,defect_roc,0.0,0.07571428571428572
one_stage,defect_roc,0.0,0.0761904761904762
one_stage,defect_roc,0.0,0.07666666666666666
one_stage,defect_roc,0.0,0.07714285714285714
one_stage,defect_roc,0.0,0.07761904761904762
one_stage,defect_roc,0.0,0.07809523809523809
one_stage,defect_roc,0.0,0.07857142857142857
one_stage,defect_roc,0.0,0.07904761904761905
one_stage,defect_roc,0.0,0.07952380952380952
one_stage,defect_roc,0.0,0.08
one_stage,defect_roc,0.0,0.08047619047619048
one_stage,defect_roc,0.0,0.08095238095238096
one_stage,defect_roc,0.0,0.08142857142857143
one_stage,defect_roc,0.0,0.08190476190476191
one_stage,defect_roc,0.0,0.08238095238095237
one_stage,defect_roc,0.0,0.08285714285714285
one_stage,defect_roc,0.0,0.08333333333333333
one_stage,defect_roc,0.0,0.0838095238095238
one_stage,defect_roc,0.0,0.08428571428571428
one_stage,defect_roc,0.0,0.08476190476190476
one_stage,defect_roc,0.0,0.08523809523809524
one_stage,defect_roc,0.0,0.08571428571428572
one_stage,defect_roc,0.0,0.08619047619047619
one_stage,defect_roc,0.0,0.08666666666666667
one_stage,defect_roc,0.0,0.08714285714285715
one_stage,defect_roc,0.0,0.08761904761904762
one_stage,defect_roc,0.0,0.0880952380952381
one_stage,defect_roc,0.0,0.08857142857142856
one_stage,defect_roc,0.0,0.08904761904761904
one_stage,defect_roc,0.0,0.08952380952380952
one_stage,defect_roc,0.0,0.09
one_stage,defect_roc,0.0,0.09047619047619047
one_stage,defect_roc,0.0,0.09095238095238095
one_stage,defect_roc,0.0,0.09142857142857143
one_stage,defect_roc,0.0,0.0919047619047619
one_stage,defect_roc,0.0,0.09238095238095238
one_stage,defect_roc,0.0,0.09285714285714286
one_stage,defect_roc,0.0,0.09333333333333334
one_stage,defect_roc,0.0,0.09380952380952381
one_stage,defect_roc,0.0,0.09428571428571429
one_stage,defect_roc,0.0,0.09476190476190476
one_stage,defect_roc,0.0,0.09523809523809523
one_stage,defect_roc,0.0,0.09571428571428571
one_stage,defect_roc,0.0,0.09619047619047619
one_stage,defect_roc,0.0,0.09666666666666666
one_stage,defect_roc,0.0,0.09714285714285714
one_stage,defect_roc,0.0,0.09761904761904762
one_stage,defect_roc,0.0,0.0980952380952381
one_stage,defect_roc,0.0,0.09857142857142857
one_stage,defect_roc,0.0,0.09904761904761905
one_stage,defect_roc,0.0,0.09952380952380953
one_stage,defect_roc,0.0,0.1
one_stage,defect_roc,0.0,0.10047619047619048
one_stage,defect_roc,0.0,0.10095238095238095
one_stage,defect_roc,0.0,0.10142857142857142
one_stage,defect_roc,0.0,0.1019047619047619
one_stage,defect_roc,0.0,0.10238095238095238
one_stage,defect_roc,0.0,0.10285714285714286
one_stage,defect_roc,0.0,0.10333333333333333
one_stage,defect_roc,0.0,0.10380952380952381
one_stage,defect_roc,0.0,0.10428571428571429
one_stage,defect_roc,0.0,0.10476190476190476
one_stage,defect_roc,0.0,0.10523809523809524
one_stage,defect_roc,0.0,0.10571428571428572
one_stage,defect_roc,0.0,0.1061904761904762
one_stage,defect_roc,0.0,0.10666666666666667
one_stage,defect_roc,0.0,0.10714285714285714
one_stage,defect_roc,0.0,0.10761904761904761
one_stage,defect_roc,0.0,0.10809523809523809
one_stage,defect_roc,0.0,0.10857142857142857
one_stage,defect_roc,0.0,0.10904761904761905
one_stage,defect_roc,0.0,0.10952380952380952
one_stage,defect_roc,0.0,0.11
one_stage,defect_roc,0.0,0.11047619047619048
one_stage,defect_roc,0.0,0.11095238095238096
one_stage,defect_roc,0.0,0.11142857142857143
one_stage,defect_roc,0.0,0.11190476190476191
one_stage,defect_roc,0.0,0.11238095238095239
one_stage,defect_roc,0.0,0.11285714285714285
one_stage,defect_roc,0.0,0.11333333333333333
one_stage,defect_roc,0.0,0.1138095238095238
one_stage,defect_roc,0.0,0.11428571428571428
one_stage,defect_roc,0.0,0.11476190476190476
one_stage,defect_roc,0.0,0.11523809523809524
one_stage,defect_roc,0.0,0.11571428571428571
one_stage,defect_roc,0.0,0.11619047619047619
one_stage,defect_roc,0.0,0.11666666666666667
one_stage,defect_roc,0.0,0.11714285714285715
one_stage,defect_roc,0.0,0.11761904761904762
one_stage,defect_roc,0.0,0.1180952380952381
one_stage,defect_roc,0.0,0.11857142857142858
one_stage,defect_roc,0.0,0.11904761904761904
one_stage,defect_roc,0.0,0.11952380952380952
one_stage,defect_roc,0.0,0.12
one_stage,defect_roc,0.0,0.12047619047619047
one_stage,defect_roc,0.0,0.12095238095238095
one_stage,defect_roc,0.0,0.12142857142857143
one_stage,defect_roc,0.0,0.1219047619047619
one_stage,defect_roc,0.0,0.12238095238095238
one_stage,defect_roc,0.0,0.12285714285714286
one_stage,defect_roc,0.0,0.12333333333333334
one_stage,defect_roc,0.0,0.12380952380952381
one_stage,defect_roc,0.0,0.12428571428571429
one_stage,defect_roc,0.0,0.12476190476190477
one_stage,defect_roc,0.0,0.12523809523809523
one_stage,defect_roc,0.0,0.12571428571428572
one_stage,defect_roc,0.0,0.1261904761904762
one_stage,defect_roc,0.0,0.12666666666666668
one_stage,defect_roc,0.0,0.12714285714285714
one_stage,defect_roc,0.0,0.12761904761904763
one_stage,defect_roc,0.0,0.1280952380952381
one_stage,defect_roc,0.0,0.12857142857142856
one_stage,defect_roc,0.0,0.12904761904761905
one_stage,defect_roc,0.0,0.1295238095238095
one_stage,defect_roc,0.0,0.13
one_stage,defect_roc,0.0,0.13047619047619047
one_stage,defect_roc,0.0,0.13095238095238096
one_stage,defect_roc,0.0,0.13142857142857142
one_stage,defect_roc,0.0,0.1319047619047619
one_stage,defect_roc,0.0,0.13238095238095238
one_stage,defect_roc,0.0,0.13285714285714287
one_stage,defect_roc,0.0,0.13333333333333333
one_stage,defect_roc,0.0,0.13380952380952382
one_stage,defect_roc,0.0,0.13428571428571429
one_stage,defect_roc,0.0,0.13476190476190475
one_stage,defect_roc,0.0,0.13523809523809524
one_stage,defect_roc,0.0,0.1357142857142857
one_stage,defect_roc,0.0,0.1361904761904762
one_stage,defect_roc,0.0,0.13666666666666666
one_stage,defect_roc,0.0,0.13714285714285715
one_stage,defect_roc,0.0,0.1376190476190476
one_stage,defect_roc,0.0,0.1380952380952381
one_stage,defect_roc,0.0,0.13857142857142857
one_stage,defect_roc,0.0,0.13904761904761906
one_stage,defect_roc,0.0,0.13952380952380952
one_stage,defect_roc,0.0,0.14
one_stage,defect_roc,0.0,0.14047619047619048
one_stage,defect_roc,0.0,0.14095238095238094
one_stage,defect_roc,0.0,0.14142857142857143
one_stage,defect_roc,0.0,0.1419047619047619
one_stage,defect_roc,0.0,0.14238095238095239
one_stage,defect_roc,0.0,0.14285714285714285
one_stage,defect_roc,0.0,0.14333333333333334
one_stage,defect_roc,0.0,0.1438095238095238
one_stage,defect_roc,0.0,0.1442857142857143
one_stage,defect_roc,0.0,0.14476190476190476
one_stage,defect_roc,0.0,0.14523809523809525
one_stage,defect_roc,0.0,0.1457142857142857
one_stage,defect_roc,0.0,0.1461904761904762
one_stage,defect_roc,0.0,0.14666666666666667
one_stage,defect_roc,0.0,0.14714285714285713
one_stage,defect_roc,0.0,0.14761904761904762
one_stage,defect_roc,0.0,0.14809523809523809
one_stage,defect_roc,0.0,0.14857142857142858
one_stage,defect_roc,0.0,0.14904761904761904
one_stage,defect_roc,0.0,0.14952380952380953
one_stage,defect_roc,0.0,0.15
one_stage,defect_roc,0.0,0.15047619047619049
one_stage,defect_roc,0.0,0.15095238095238095
one_stage,defect_roc,0.0,0.15142857142857144
one_stage,defect_roc,0.0,0.1519047619047619
one_stage,defect_roc,0.0,0.1523809523809524
one_stage,defect_roc,0.0,0.15285714285714286
one_stage,defect_roc,0.0,0.15333333333333332
one_stage,defect_roc,0.0,0.1538095238095238
one_stage,defect_roc,0.0,0.15428571428571428
one_stage,defect_roc,0.0,0.15476190476190477
one_stage,defect_roc,0.0,0.15523809523809523
one_stage,defect_roc,0.0,0.15571428571428572
one_stage,defect_roc,0.0,0.15619047619047619
one_stage,defect_roc,0.0,0.15666666666666668
one_stage,defect_roc,0.0,0.15714285714285714
one_stage,defect_roc,0.0,0.15761904761904763
one_stage,defect_roc,0.0,0.1580952380952381
one_stage,defect_roc,0.0,0.15857142857142856
one_stage,defect_roc,0.0,0.15904761904761905
one_stage,defect_roc,0.0,0.1595238095238095
one_stage,defect_roc,0.0,0.16
one_stage,defect_roc,0.0,0.16047619047619047
one_stage,defect_roc,0.0,0.16095238095238096
one_stage,defect_roc,0.0,0.16142857142857142
one_stage,defect_roc,0.0,0.1619047619047619
one_stage,defect_roc,0.0,0.16238095238095238
one_stage,defect_roc,0.0,0.16285714285714287
one_stage,defect_roc,0.0,0.16333333333333333
one_stage,defect_roc,0.0,0.16380952380952382
one_stage,defect_roc,0.0,0.16428571428571428
one_stage,defect_roc,0.0,0.16476190476190475
one_stage,defect_roc,0.0,0.16523809523809524
one_stage,defect_roc,0.0,0.1657142857142857
one_stage,defect_roc,0.0,0.1661904761904762
one_stage,defect_roc,0.0,0.16666666666666666
one_stage,defect_roc,0.0,0.16714285714285715
one_stage,defect_roc,0.0,0.1676190476190476
one_stage,defect_roc,0.0,0.1680952380952381
one_stage,defect_roc,0.0,0.16857142857142857
one_stage,defect_roc,0.0,0.16904761904761906
one_stage,defect_roc,0.0,0.16952380952380952
one_stage,defect_roc,0.0,0.17
one_stage,defect_roc,0.0,0.17047619047619048
one_stage,defect_roc,0.0,0.17095238095238094
one_stage,defect_roc,0.0,0.17142857142857143
one_stage,defect_roc,0.0,0.1719047619047619
one_stage,defect_roc,0.0,0.17238095238095238
one_stage,defect_roc,0.0,0.17285714285714285
one_stage,defect_roc,0.0,0.17333333333333334
